business_id,stars,city,food_pos,service_pos,price_pos,clean_pos,location_pos,food_neg,service_neg,price_neg,clean_neg,location_neg
tCbdrRPZA0oiIYSmHG3J0w,5.0,Portland,0.99,1.0,0.97,0.98,0.9,0.01,0.0,0.02,0.02,0.04
tCbdrRPZA0oiIYSmHG3J0w,5.0,Portland,1.0,0.95,0.95,0.95,0.9,0.0,0.03,0.03,0.03,0.05
tCbdrRPZA0oiIYSmHG3J0w,5.0,Portland,1.0,0.93,1.0,0.97,0.82,0.0,0.04,0.0,0.02,0.06
tCbdrRPZA0oiIYSmHG3J0w,5.0,Portland,0.1,0.33,0.69,0.58,0.56,0.18,0.24,0.13,0.26,0.15
tCbdrRPZA0oiIYSmHG3J0w,5.0,Portland,1.0,0.94,0.88,0.82,0.66,0.0,0.03,0.08,0.12,0.15
tCbdrRPZA0oiIYSmHG3J0w,4.0,Portland,0.05,1.0,0.72,0.71,0.84,0.03,0.0,0.14,0.18,0.06
tCbdrRPZA0oiIYSmHG3J0w,4.0,Portland,0.62,0.01,1.0,0.06,0.61,0.34,0.98,0.0,0.92,0.24
tCbdrRPZA0oiIYSmHG3J0w,4.0,Portland,0.5,0.94,0.8,0.92,0.8,0.25,0.03,0.13,0.06,0.08
tCbdrRPZA0oiIYSmHG3J0w,3.0,Portland,0.07,0.05,0.06,0.56,0.58,0.78,0.92,0.92,0.4,0.24
tCbdrRPZA0oiIYSmHG3J0w,2.0,Portland,1.0,0.01,0.02,0.06,0.55,0.0,0.97,0.97,0.93,0.28
tCbdrRPZA0oiIYSmHG3J0w,1.0,Portland,0.0,0.01,0.02,0.06,0.09,0.03,0.98,0.97,0.93,0.58
jx91IMdGOmLOo8h_F9z39g,5.0,Portland,1.0,0.96,0.67,0.76,0.69,0.0,0.01,0.13,0.15,0.06
jx91IMdGOmLOo8h_F9z39g,5.0,Portland,0.66,0.3,0.62,0.59,0.68,0.18,0.61,0.35,0.36,0.17
jx91IMdGOmLOo8h_F9z39g,5.0,Portland,0.95,1.0,0.99,0.97,0.85,0.03,0.0,0.01,0.02,0.06
jx91IMdGOmLOo8h_F9z39g,4.0,Portland,0.63,0.9,1.0,0.89,0.74,0.0,0.02,0.0,0.04,0.05
jx91IMdGOmLOo8h_F9z39g,4.0,Portland,0.43,0.54,0.58,0.55,0.45,0.24,0.37,0.1,0.35,0.28
jx91IMdGOmLOo8h_F9z39g,1.0,Portland,0.03,0.26,0.05,0.21,0.18,0.42,0.54,0.64,0.59,0.21
jx91IMdGOmLOo8h_F9z39g,1.0,Portland,0.17,0.01,0.01,0.06,0.09,0.58,0.97,0.95,0.91,0.63
jx91IMdGOmLOo8h_F9z39g,3.0,Portland,0.0,0.01,0.01,0.04,0.02,0.1,0.48,0.6,0.59,0.15
jx91IMdGOmLOo8h_F9z39g,2.0,Portland,0.0,0.0,0.01,0.02,0.08,0.98,0.99,0.99,0.98,0.89
5PsApTz-WqhF_-8mfqGtGw,5.0,Portland,0.99,0.93,1.0,0.96,0.89,0.0,0.05,0.0,0.02,0.04
5PsApTz-WqhF_-8mfqGtGw,5.0,Portland,1.0,0.99,0.98,0.99,0.77,0.0,0.01,0.01,0.01,0.09
5PsApTz-WqhF_-8mfqGtGw,5.0,Portland,1.0,0.82,1.0,0.75,0.67,0.0,0.08,0.0,0.15,0.13
5PsApTz-WqhF_-8mfqGtGw,4.0,Portland,0.54,0.67,0.79,0.75,0.72,0.09,0.21,0.15,0.19,0.13
5PsApTz-WqhF_-8mfqGtGw,4.0,Portland,1.0,0.99,1.0,0.98,0.77,0.0,0.01,0.0,0.02,0.09
5PsApTz-WqhF_-8mfqGtGw,1.0,Portland,0.58,0.4,0.46,0.59,0.64,0.21,0.5,0.46,0.35,0.03
5PsApTz-WqhF_-8mfqGtGw,3.0,Portland,1.0,0.98,0.06,0.21,0.3,0.0,0.01,0.82,0.56,0.27
5PsApTz-WqhF_-8mfqGtGw,2.0,Portland,0.01,0.03,0.03,0.19,0.25,0.2,0.85,0.9,0.7,0.3
aTAe3uMYBEwU0FbTMFEI5g,5.0,Portland,0.98,0.96,0.94,0.95,0.9,0.01,0.03,0.04,0.03,0.04
aTAe3uMYBEwU0FbTMFEI5g,5.0,Portland,0.23,1.0,1.0,0.95,0.39,0.72,0.0,0.0,0.04,0.55
aTAe3uMYBEwU0FbTMFEI5g,5.0,Portland,1.0,1.0,0.99,1.0,0.91,0.0,0.0,0.01,0.0,0.02
aTAe3uMYBEwU0FbTMFEI5g,4.0,Portland,0.74,0.42,0.78,0.59,0.6,0.08,0.32,0.14,0.28,0.15
aTAe3uMYBEwU0FbTMFEI5g,4.0,Portland,0.09,0.09,1.0,0.26,0.57,0.08,0.84,0.0,0.62,0.14
aTAe3uMYBEwU0FbTMFEI5g,3.0,Portland,0.01,0.01,0.01,0.07,0.29,0.97,0.97,0.98,0.92,0.55
aTAe3uMYBEwU0FbTMFEI5g,1.0,Portland,0.0,0.0,0.01,0.08,0.39,0.99,0.99,0.99,0.92,0.53
aTAe3uMYBEwU0FbTMFEI5g,2.0,Portland,0.99,0.01,0.01,0.1,0.33,0.0,0.99,0.99,0.89,0.53
r_sOAVfNPaXrpjznZpuxeg,5.0,Portland,0.99,1.0,0.98,1.0,0.93,0.0,0.0,0.01,0.0,0.03
r_sOAVfNPaXrpjznZpuxeg,5.0,Portland,0.51,0.5,0.51,0.51,0.56,0.46,0.49,0.49,0.47,0.31
r_sOAVfNPaXrpjznZpuxeg,5.0,Portland,1.0,0.08,0.09,0.29,0.5,0.0,0.87,0.88,0.67,0.33
r_sOAVfNPaXrpjznZpuxeg,5.0,Portland,1.0,1.0,0.98,0.99,0.91,0.0,0.0,0.01,0.01,0.04
r_sOAVfNPaXrpjznZpuxeg,4.0,Portland,1.0,0.57,0.62,0.84,0.64,0.0,0.22,0.14,0.1,0.07
r_sOAVfNPaXrpjznZpuxeg,4.0,Portland,0.28,0.15,0.38,0.19,0.26,0.21,0.6,0.43,0.6,0.37
r_sOAVfNPaXrpjznZpuxeg,1.0,Portland,0.01,0.07,0.03,0.22,0.17,0.34,0.58,0.62,0.55,0.21
r_sOAVfNPaXrpjznZpuxeg,2.0,Portland,0.09,0.16,0.04,0.18,0.27,0.15,0.71,0.9,0.72,0.56
r_sOAVfNPaXrpjznZpuxeg,3.0,Portland,0.03,0.14,0.11,0.34,0.49,0.03,0.72,0.75,0.49,0.16
7IPhANX229XHo6I5w_BzxA,5.0,Portland,1.0,1.0,0.99,0.99,0.91,0.0,0.0,0.01,0.01,0.04
7IPhANX229XHo6I5w_BzxA,5.0,Portland,1.0,1.0,0.96,1.0,0.88,0.0,0.0,0.03,0.0,0.04
7IPhANX229XHo6I5w_BzxA,5.0,Portland,0.99,0.92,1.0,0.96,0.77,0.0,0.05,0.0,0.03,0.1
7IPhANX229XHo6I5w_BzxA,5.0,Portland,1.0,1.0,1.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0
7IPhANX229XHo6I5w_BzxA,5.0,Portland,0.99,0.99,1.0,0.98,0.92,0.0,0.0,0.0,0.01,0.03
7IPhANX229XHo6I5w_BzxA,5.0,Portland,1.0,0.96,1.0,0.97,0.79,0.0,0.02,0.0,0.02,0.09
7IPhANX229XHo6I5w_BzxA,5.0,Portland,0.12,0.11,0.14,0.12,0.11,0.15,0.44,0.6,0.56,0.36
7IPhANX229XHo6I5w_BzxA,4.0,Portland,0.01,0.21,0.41,0.45,0.2,0.01,0.27,0.13,0.22,0.11
7IPhANX229XHo6I5w_BzxA,1.0,Portland,0.01,0.02,0.01,0.06,0.13,0.81,0.95,0.97,0.9,0.63
GyglPdfJM89if_5XSBIN7Q,5.0,Portland,0.67,1.0,0.95,0.95,0.9,0.07,0.0,0.03,0.04,0.04
GyglPdfJM89if_5XSBIN7Q,5.0,Portland,0.07,1.0,0.88,0.76,0.99,0.46,0.0,0.1,0.2,0.0
GyglPdfJM89if_5XSBIN7Q,5.0,Portland,0.05,0.52,0.55,0.59,0.54,0.41,0.33,0.31,0.3,0.14
GyglPdfJM89if_5XSBIN7Q,5.0,Portland,0.12,0.73,0.01,1.0,0.78,0.35,0.19,0.97,0.0,0.1
GyglPdfJM89if_5XSBIN7Q,5.0,Portland,0.95,0.98,0.93,0.98,0.93,0.04,0.01,0.05,0.01,0.03
GyglPdfJM89if_5XSBIN7Q,5.0,Portland,0.06,0.1,0.3,0.25,0.29,0.26,0.52,0.42,0.52,0.12
GyglPdfJM89if_5XSBIN7Q,4.0,Portland,0.37,0.75,0.91,0.75,0.81,0.32,0.17,0.08,0.18,0.09
GyglPdfJM89if_5XSBIN7Q,1.0,Portland,0.0,0.0,0.0,0.03,0.02,0.13,0.87,0.93,0.83,0.73
GyglPdfJM89if_5XSBIN7Q,2.0,Portland,0.02,0.02,0.08,0.23,0.95,0.98,0.98,0.91,0.76,0.04
GyglPdfJM89if_5XSBIN7Q,3.0,Portland,0.04,0.4,0.52,0.63,0.43,0.14,0.36,0.37,0.29,0.16
lyhNDfX8UatlRO5H3Kfccg,5.0,Portland,1.0,1.0,1.0,1.0,0.95,0.0,0.0,0.0,0.0,0.02
lyhNDfX8UatlRO5H3Kfccg,5.0,Portland,1.0,1.0,0.99,1.0,0.92,0.0,0.0,0.0,0.0,0.04
lyhNDfX8UatlRO5H3Kfccg,5.0,Portland,0.68,0.96,0.84,0.8,0.7,0.03,0.01,0.07,0.11,0.07
lyhNDfX8UatlRO5H3Kfccg,5.0,Portland,0.96,0.91,0.99,0.92,0.46,0.0,0.03,0.0,0.04,0.11
lyhNDfX8UatlRO5H3Kfccg,5.0,Portland,1.0,0.99,1.0,0.97,0.91,0.0,0.0,0.0,0.02,0.04
lyhNDfX8UatlRO5H3Kfccg,5.0,Portland,1.0,0.97,1.0,0.95,0.87,0.0,0.02,0.0,0.04,0.05
lyhNDfX8UatlRO5H3Kfccg,5.0,Portland,0.29,0.97,0.82,1.0,0.74,0.06,0.01,0.1,0.0,0.07
lyhNDfX8UatlRO5H3Kfccg,5.0,Portland,1.0,1.0,1.0,0.99,0.97,0.0,0.0,0.0,0.01,0.01
lyhNDfX8UatlRO5H3Kfccg,4.0,Portland,0.94,0.63,0.7,0.72,0.79,0.01,0.14,0.1,0.16,0.06
lyhNDfX8UatlRO5H3Kfccg,2.0,Portland,0.12,0.01,0.03,0.01,0.25,0.85,0.99,0.96,0.98,0.67
lyhNDfX8UatlRO5H3Kfccg,3.0,Portland,0.01,0.01,0.01,0.02,0.04,0.95,0.99,0.99,0.98,0.86
lyhNDfX8UatlRO5H3Kfccg,1.0,Portland,0.01,0.01,0.01,0.05,0.04,0.98,0.98,0.99,0.94,0.87
DgJSDdnPOvLCCyuryIh-3Q,5.0,Portland,0.87,0.29,0.28,0.61,0.58,0.04,0.46,0.59,0.3,0.21
DgJSDdnPOvLCCyuryIh-3Q,5.0,Portland,0.96,0.97,0.98,0.97,0.89,0.0,0.02,0.01,0.02,0.04
DgJSDdnPOvLCCyuryIh-3Q,5.0,Portland,1.0,0.99,0.98,0.97,0.77,0.0,0.01,0.02,0.02,0.12
DgJSDdnPOvLCCyuryIh-3Q,5.0,Portland,0.98,0.97,0.98,0.88,0.76,0.01,0.02,0.01,0.08,0.09
DgJSDdnPOvLCCyuryIh-3Q,5.0,Portland,1.0,0.99,1.0,0.97,0.86,0.0,0.01,0.0,0.02,0.07
DgJSDdnPOvLCCyuryIh-3Q,5.0,Portland,0.76,0.63,0.88,0.86,0.74,0.16,0.28,0.09,0.12,0.13
DgJSDdnPOvLCCyuryIh-3Q,5.0,Portland,0.91,0.61,0.67,0.73,0.64,0.06,0.24,0.22,0.19,0.15
DgJSDdnPOvLCCyuryIh-3Q,4.0,Portland,1.0,0.99,1.0,0.8,0.79,0.0,0.01,0.0,0.15,0.1
DgJSDdnPOvLCCyuryIh-3Q,2.0,Portland,0.46,0.01,0.02,0.09,0.16,0.06,0.94,0.86,0.83,0.26
DgJSDdnPOvLCCyuryIh-3Q,1.0,Portland,0.0,0.01,0.01,0.24,0.14,0.01,0.91,0.91,0.64,0.36
DgJSDdnPOvLCCyuryIh-3Q,3.0,Portland,1.0,0.01,0.06,0.05,0.46,0.0,0.98,0.93,0.94,0.45
fMZRia9Jq8CXgP3Wna6_gg,4.0,Portland,1.0,0.06,0.04,0.05,0.09,0.0,0.63,0.75,0.79,0.47
fMZRia9Jq8CXgP3Wna6_gg,4.0,Portland,0.59,0.2,0.45,0.39,0.52,0.04,0.49,0.31,0.43,0.18
fMZRia9Jq8CXgP3Wna6_gg,4.0,Portland,1.0,1.0,0.99,0.99,0.87,0.0,0.0,0.01,0.01,0.04
fMZRia9Jq8CXgP3Wna6_gg,5.0,Portland,1.0,0.96,0.94,0.97,1.0,0.0,0.03,0.05,0.02,0.0
fMZRia9Jq8CXgP3Wna6_gg,5.0,Portland,0.97,1.0,0.99,0.95,0.88,0.01,0.0,0.01,0.03,0.05
fMZRia9Jq8CXgP3Wna6_gg,5.0,Portland,0.99,0.99,0.98,0.99,0.97,0.01,0.01,0.01,0.01,0.01
fMZRia9Jq8CXgP3Wna6_gg,3.0,Portland,0.18,0.02,0.02,0.06,0.32,0.8,0.96,0.97,0.92,0.41
