,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,business_id,stars,city,food_pos,service_pos,price_pos,clean_pos,location_pos,food_neg,service_neg,price_neg,clean_neg,location_neg
0,587330,D4JtQNTI4X3KcbzacDJsMw,4,Vancouver,0.16,0.01,0.07,0.26,0.54,0.48,0.24,0.85,0.65,0.15
1,382381,D4JtQNTI4X3KcbzacDJsMw,4,Vancouver,1,0.99,1,0.98,0.96,0,0.01,0,0.01,0.02
2,423959,D4JtQNTI4X3KcbzacDJsMw,4,Vancouver,0.89,0.76,0.76,0.59,0.78,0.04,0.13,0.15,0.26,0.08
3,459082,D4JtQNTI4X3KcbzacDJsMw,5,Vancouver,0.78,0.57,0.3,0.47,0.47,0.1,0.4,0.63,0.47,0.38
4,428482,D4JtQNTI4X3KcbzacDJsMw,5,Vancouver,0.99,1,0.96,0.92,0.82,0,0,0.02,0.05,0.06
5,274584,D4JtQNTI4X3KcbzacDJsMw,3,Vancouver,0.13,0.25,0.03,0.35,0.26,0.29,0.24,0.79,0.44,0.31
6,162812,D4JtQNTI4X3KcbzacDJsMw,2,Vancouver,0.05,0.03,0.01,0.04,0.07,0.3,0.68,0.73,0.8,0.62
7,526053,D4JtQNTI4X3KcbzacDJsMw,1,Vancouver,0.02,0.01,0.01,0.02,0.26,0.92,0.99,0.99,0.97,0.62
8,712266,Mf9io8WkMyGautXuSSfGTg,5,Vancouver,1,1,0.99,0.99,0.73,0,0,0,0.01,0.08
9,705175,Mf9io8WkMyGautXuSSfGTg,5,Vancouver,1,1,0.99,1,0.97,0,0,0,0,0.01
10,847740,Mf9io8WkMyGautXuSSfGTg,5,Vancouver,0.4,0.99,0.95,0.96,0.89,0.01,0.01,0.04,0.02,0.04
11,728372,Mf9io8WkMyGautXuSSfGTg,2,Vancouver,0.03,0.01,0.01,0.06,0.17,0.89,0.99,0.99,0.93,0.66
12,680881,Mf9io8WkMyGautXuSSfGTg,3,Vancouver,0.49,0.51,0.53,0.56,0.61,0.13,0.28,0.3,0.28,0.17
13,727583,Mf9io8WkMyGautXuSSfGTg,1,Vancouver,0.21,0.07,0.07,0.33,0.43,0.12,0.78,0.79,0.5,0.24
14,754917,Mf9io8WkMyGautXuSSfGTg,4,Vancouver,1,0.42,0.05,0.57,0.57,0,0.5,0.93,0.41,0.22
15,69190,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0,0.01,0.01,0.03,0.17,0.99,0.99,0.99,0.97,0.75
16,423226,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0.07,0.27,0.39,0.29,0.25,0.07,0.53,0.46,0.46,0.24
17,616975,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0,0.03,0.02,0.25,0.17,0.18,0.89,0.82,0.6,0.45
18,623176,OfA_4cHgvlknHMcn0qNs2w,3,Vancouver,0,0.28,0.07,0.22,0.64,0.02,0.18,0.61,0.5,0.07
19,688846,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0,0.01,0.01,0.05,0.27,0.01,0.99,0.99,0.95,0.68
20,701293,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0,0.01,0.01,0.04,0.03,0.45,0.97,0.92,0.94,0.72
21,737007,OfA_4cHgvlknHMcn0qNs2w,1,Vancouver,0,0.01,0.01,0.02,0.08,0.74,0.97,0.97,0.97,0.73
