,Unnamed: 0.1.1.1,business_id,stars,city,food_pos,service_pos,price_pos,clean_pos,location_pos,food_neg,service_neg,price_neg,clean_neg,location_neg
0,687648,z8-_6l5EhX5NuPfWzJYQMA,4.0,Atlanta,1.0,0.99,0.99,0.99,0.92,0.0,0.0,0.01,0.0,0.03
1,620840,z8-_6l5EhX5NuPfWzJYQMA,4.0,Atlanta,0.07,0.98,0.47,0.59,0.63,0.59,0.01,0.38,0.28,0.17
2,522511,z8-_6l5EhX5NuPfWzJYQMA,2.0,Atlanta,0.01,0.01,0.01,0.02,0.21,0.98,0.98,0.99,0.98,0.73
3,343555,z8-_6l5EhX5NuPfWzJYQMA,2.0,Atlanta,0.01,0.01,0.05,0.09,0.18,0.24,0.91,0.9,0.81,0.41
4,774780,z8-_6l5EhX5NuPfWzJYQMA,1.0,Atlanta,0.0,0.01,0.01,0.15,0.34,0.0,0.99,0.97,0.84,0.44
5,585418,z8-_6l5EhX5NuPfWzJYQMA,5.0,Atlanta,1.0,1.0,0.89,0.97,0.77,0.0,0.0,0.06,0.01,0.06
6,731580,z8-_6l5EhX5NuPfWzJYQMA,3.0,Atlanta,0.3,0.71,0.3,0.68,0.97,0.24,0.1,0.37,0.18,0.01
7,525478,Q2vefh0tGhtCGQDK1FI7cw,5.0,Atlanta,0.81,0.99,0.99,0.99,0.91,0.17,0.01,0.01,0.01,0.05
8,837894,Q2vefh0tGhtCGQDK1FI7cw,5.0,Atlanta,0.06,0.49,0.78,0.66,0.58,0.36,0.3,0.11,0.25,0.15
9,122261,Q2vefh0tGhtCGQDK1FI7cw,5.0,Atlanta,0.99,1.0,0.99,0.99,0.93,0.01,0.0,0.0,0.01,0.03
10,46820,Q2vefh0tGhtCGQDK1FI7cw,5.0,Atlanta,0.02,0.28,0.28,0.45,0.26,0.66,0.31,0.16,0.35,0.14
11,186776,Q2vefh0tGhtCGQDK1FI7cw,5.0,Atlanta,0.06,0.59,0.94,0.67,0.62,0.82,0.35,0.04,0.28,0.19
12,473071,Q2vefh0tGhtCGQDK1FI7cw,4.0,Atlanta,0.75,0.83,0.87,0.9,0.84,0.05,0.05,0.06,0.05,0.04
13,124371,Q2vefh0tGhtCGQDK1FI7cw,3.0,Atlanta,0.01,0.01,0.01,0.18,0.16,0.98,0.97,0.99,0.81,0.05
14,851707,Q2vefh0tGhtCGQDK1FI7cw,1.0,Atlanta,0.0,0.01,0.01,0.02,0.38,0.99,0.99,0.99,0.98,0.35
15,808550,Q2vefh0tGhtCGQDK1FI7cw,2.0,Atlanta,0.0,1.0,0.05,0.48,0.48,0.99,0.0,0.94,0.5,0.41
16,125644,bP6goJODwRnM3AVy45Kn9w,5.0,Atlanta,0.97,1.0,0.6,0.73,0.7,0.0,0.0,0.28,0.19,0.13
17,277925,bP6goJODwRnM3AVy45Kn9w,5.0,Atlanta,1.0,0.99,0.98,0.99,0.94,0.0,0.01,0.02,0.01,0.03
18,147307,bP6goJODwRnM3AVy45Kn9w,5.0,Atlanta,1.0,1.0,0.99,0.99,0.9,0.0,0.0,0.0,0.01,0.05
19,98188,bP6goJODwRnM3AVy45Kn9w,4.0,Atlanta,1.0,1.0,0.99,0.99,0.93,0.0,0.0,0.01,0.01,0.03
20,222375,bP6goJODwRnM3AVy45Kn9w,4.0,Atlanta,0.88,0.01,0.01,0.03,0.1,0.08,0.99,0.99,0.97,0.9
21,699986,bP6goJODwRnM3AVy45Kn9w,4.0,Atlanta,0.98,0.23,0.25,0.6,0.04,0.0,0.7,0.67,0.31,0.95
22,31172,bP6goJODwRnM3AVy45Kn9w,3.0,Atlanta,0.98,0.15,0.16,0.38,0.52,0.01,0.73,0.8,0.54,0.34
23,307512,bP6goJODwRnM3AVy45Kn9w,2.0,Atlanta,0.58,0.0,0.03,0.11,0.24,0.02,0.17,0.9,0.84,0.44
24,666437,bP6goJODwRnM3AVy45Kn9w,1.0,Atlanta,0.0,0.0,0.0,0.01,0.04,0.06,0.99,0.99,0.99,0.92
25,559895,yCeENvVAGQQ0PeeWU0Pl2g,4.0,Atlanta,1.0,0.99,0.99,0.99,0.94,0.0,0.01,0.01,0.01,0.02
26,584724,yCeENvVAGQQ0PeeWU0Pl2g,4.0,Atlanta,1.0,1.0,0.9,0.87,0.71,0.0,0.0,0.06,0.09,0.13
27,398542,yCeENvVAGQQ0PeeWU0Pl2g,5.0,Atlanta,1.0,1.0,0.9,0.97,0.79,0.0,0.0,0.05,0.02,0.05
28,489965,yCeENvVAGQQ0PeeWU0Pl2g,5.0,Atlanta,0.03,0.07,0.19,0.38,0.38,0.95,0.83,0.79,0.54,0.2
29,133200,yCeENvVAGQQ0PeeWU0Pl2g,1.0,Atlanta,0.03,0.01,0.02,0.12,0.47,0.62,0.97,0.97,0.87,0.34
30,417064,yCeENvVAGQQ0PeeWU0Pl2g,3.0,Atlanta,0.98,0.55,1.0,0.58,0.46,0.0,0.21,0.0,0.3,0.16
31,141530,yCeENvVAGQQ0PeeWU0Pl2g,2.0,Atlanta,0.0,0.09,0.01,0.04,0.07,0.49,0.75,0.74,0.84,0.5
32,642373,zY12NvWB5QKNuLh9tbLEsA,5.0,Atlanta,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33,211714,zY12NvWB5QKNuLh9tbLEsA,5.0,Atlanta,1.0,0.66,0.96,0.81,0.63,0.0,0.16,0.02,0.11,0.12
34,100624,zY12NvWB5QKNuLh9tbLEsA,4.0,Atlanta,0.98,0.53,0.3,0.33,0.26,0.0,0.28,0.47,0.13,0.14
35,242960,zY12NvWB5QKNuLh9tbLEsA,4.0,Atlanta,0.92,0.71,0.8,0.75,0.6,0.01,0.08,0.08,0.14,0.14
36,36561,zY12NvWB5QKNuLh9tbLEsA,3.0,Atlanta,0.35,0.2,0.24,0.23,0.49,0.27,0.5,0.55,0.57,0.25
37,175408,zY12NvWB5QKNuLh9tbLEsA,3.0,Atlanta,0.06,0.44,0.8,0.43,0.32,0.11,0.37,0.12,0.42,0.22
38,389858,zY12NvWB5QKNuLh9tbLEsA,2.0,Atlanta,0.43,0.2,0.41,0.42,0.47,0.01,0.48,0.27,0.33,0.13
39,755596,zY12NvWB5QKNuLh9tbLEsA,1.0,Atlanta,0.0,0.01,0.0,0.01,0.07,0.97,0.98,0.99,0.99,0.88
40,727732,diB_y_0tPzz-OAe5xgFXtw,1.0,Atlanta,0.0,0.01,0.0,0.02,0.4,0.49,0.98,0.98,0.95,0.38
41,762558,diB_y_0tPzz-OAe5xgFXtw,1.0,Atlanta,0.0,0.49,0.01,0.03,0.11,0.66,0.49,0.97,0.94,0.54
42,671935,diB_y_0tPzz-OAe5xgFXtw,1.0,Atlanta,0.01,0.01,0.01,0.02,0.26,0.98,0.99,0.99,0.98,0.7
43,155665,diB_y_0tPzz-OAe5xgFXtw,5.0,Atlanta,0.52,0.5,0.23,0.64,0.67,0.01,0.21,0.54,0.2,0.09
44,698160,diB_y_0tPzz-OAe5xgFXtw,5.0,Atlanta,1.0,1.0,0.66,0.96,0.89,0.0,0.0,0.31,0.04,0.05
45,728924,diB_y_0tPzz-OAe5xgFXtw,2.0,Atlanta,0.0,0.01,0.02,0.11,0.99,0.99,0.99,0.98,0.89,0.0
46,728270,diB_y_0tPzz-OAe5xgFXtw,2.0,Atlanta,0.66,0.94,0.01,0.07,0.16,0.01,0.0,0.85,0.73,0.64
47,317460,diB_y_0tPzz-OAe5xgFXtw,3.0,Atlanta,0.28,0.01,0.01,0.0,0.16,0.69,0.99,0.99,0.99,0.81
48,547924,diB_y_0tPzz-OAe5xgFXtw,4.0,Atlanta,0.0,0.52,0.11,0.13,0.09,0.38,0.42,0.53,0.58,0.45
49,36168,6Y0lQh4O-9JCutgyuMNq0g,4.0,Atlanta,0.21,0.28,0.11,0.76,0.72,0.41,0.59,0.86,0.2,0.12
50,307584,6Y0lQh4O-9JCutgyuMNq0g,4.0,Atlanta,0.45,0.76,0.47,0.74,0.4,0.03,0.1,0.22,0.2,0.23
51,121745,6Y0lQh4O-9JCutgyuMNq0g,4.0,Atlanta,0.0,1.0,0.12,0.03,0.48,0.01,0.0,0.79,0.97,0.17
