business_id,stars,city,food_pos,service_pos,price_pos,clean_pos,location_pos,food_neg,service_neg,price_neg,clean_neg,location_neg
ufCxltuh56FF4-ZFZ6cVhg,5.0,Orlando,0.26,0.36,0.61,0.54,0.34,0.16,0.29,0.14,0.26,0.14
ufCxltuh56FF4-ZFZ6cVhg,5.0,Orlando,0.84,0.99,0.99,0.98,0.92,0.14,0.01,0.01,0.02,0.04
ufCxltuh56FF4-ZFZ6cVhg,5.0,Orlando,0.79,0.98,0.91,0.93,0.74,0.12,0.01,0.07,0.06,0.1
ufCxltuh56FF4-ZFZ6cVhg,5.0,Orlando,0.01,0.68,0.65,0.84,0.35,0.05,0.17,0.15,0.09,0.11
ufCxltuh56FF4-ZFZ6cVhg,5.0,Orlando,0.96,1.0,0.99,0.99,0.88,0.01,0.0,0.01,0.01,0.04
ufCxltuh56FF4-ZFZ6cVhg,5.0,Orlando,0.97,0.91,0.99,0.98,0.94,0.02,0.06,0.01,0.01,0.03
ufCxltuh56FF4-ZFZ6cVhg,5.0,Orlando,0.2,0.91,0.94,0.86,0.8,0.77,0.08,0.05,0.12,0.08
ufCxltuh56FF4-ZFZ6cVhg,4.0,Orlando,0.11,0.65,0.65,0.72,0.52,0.33,0.15,0.15,0.2,0.13
ufCxltuh56FF4-ZFZ6cVhg,4.0,Orlando,0.07,0.53,0.52,0.87,0.56,0.4,0.15,0.15,0.1,0.13
ufCxltuh56FF4-ZFZ6cVhg,3.0,Orlando,0.01,0.01,0.01,0.01,0.03,0.88,0.98,0.98,0.98,0.87
ufCxltuh56FF4-ZFZ6cVhg,2.0,Orlando,0.0,0.02,0.01,0.01,0.07,0.97,0.98,0.98,0.99,0.9
ufCxltuh56FF4-ZFZ6cVhg,1.0,Orlando,0.04,0.01,0.01,0.1,0.08,0.88,0.98,0.99,0.89,0.9
GfWJ19Js7wX9rwaHQ7KbGw,2.0,Orlando,0.03,0.34,0.01,0.13,0.21,0.96,0.62,0.98,0.83,0.59
GfWJ19Js7wX9rwaHQ7KbGw,1.0,Orlando,0.1,0.01,0.01,0.03,0.1,0.9,0.99,0.99,0.96,0.85
GfWJ19Js7wX9rwaHQ7KbGw,4.0,Orlando,0.06,0.33,0.31,0.4,0.44,0.42,0.37,0.51,0.38,0.2
GfWJ19Js7wX9rwaHQ7KbGw,4.0,Orlando,0.06,0.99,0.96,0.92,0.75,0.5,0.0,0.02,0.06,0.09
GfWJ19Js7wX9rwaHQ7KbGw,5.0,Orlando,0.04,0.75,0.85,0.76,0.48,0.3,0.16,0.09,0.16,0.11
GfWJ19Js7wX9rwaHQ7KbGw,3.0,Orlando,0.2,0.87,0.92,0.84,0.86,0.39,0.06,0.05,0.13,0.04
GfWJ19Js7wX9rwaHQ7KbGw,1.0,Orlando,0.07,0.5,0.01,0.07,0.2,0.09,0.49,0.97,0.91,0.48
qbZJh9lR0gh4Wca96NQv9g,1.0,Orlando,0.01,0.0,0.01,0.03,0.08,0.33,0.99,0.97,0.94,0.47
qbZJh9lR0gh4Wca96NQv9g,1.0,Orlando,0.01,0.01,0.01,0.02,0.12,0.8,0.98,0.99,0.97,0.81
qbZJh9lR0gh4Wca96NQv9g,1.0,Orlando,0.0,0.02,0.02,0.11,0.1,0.06,0.93,0.9,0.82,0.32
qbZJh9lR0gh4Wca96NQv9g,1.0,Orlando,0.01,0.29,0.09,0.46,0.21,0.51,0.57,0.8,0.51,0.55
qbZJh9lR0gh4Wca96NQv9g,1.0,Orlando,0.01,0.0,0.0,0.01,0.01,0.93,0.99,0.99,0.99,0.96
qbZJh9lR0gh4Wca96NQv9g,3.0,Orlando,0.06,0.18,0.18,0.35,0.43,0.75,0.58,0.61,0.39,0.19
qbZJh9lR0gh4Wca96NQv9g,3.0,Orlando,0.01,0.08,0.05,0.32,0.28,0.0,0.64,0.76,0.52,0.23
qbZJh9lR0gh4Wca96NQv9g,2.0,Orlando,0.03,0.01,0.15,0.2,0.14,0.12,0.91,0.65,0.63,0.16
qbZJh9lR0gh4Wca96NQv9g,5.0,Orlando,0.08,0.9,0.59,0.97,0.66,0.2,0.08,0.34,0.02,0.11
y030N-DD6G7lfWHO4A6ezw,5.0,Orlando,0.95,0.99,0.99,0.98,0.91,0.02,0.01,0.01,0.01,0.04
y030N-DD6G7lfWHO4A6ezw,5.0,Orlando,0.86,1.0,0.8,0.87,0.53,0.02,0.0,0.08,0.07,0.12
y030N-DD6G7lfWHO4A6ezw,5.0,Orlando,1.0,1.0,0.99,0.99,0.99,0.0,0.0,0.01,0.01,0.01
y030N-DD6G7lfWHO4A6ezw,5.0,Orlando,0.11,1.0,1.0,0.17,0.01,0.02,0.0,0.0,0.49,0.09
y030N-DD6G7lfWHO4A6ezw,1.0,Orlando,0.02,0.02,0.03,0.27,0.3,0.78,0.97,0.96,0.71,0.5
y030N-DD6G7lfWHO4A6ezw,4.0,Orlando,0.93,1.0,0.96,0.84,0.77,0.03,0.0,0.03,0.11,0.08
y030N-DD6G7lfWHO4A6ezw,2.0,Orlando,0.0,0.09,0.32,0.27,0.23,0.0,0.45,0.58,0.44,0.24
y030N-DD6G7lfWHO4A6ezw,3.0,Orlando,0.71,1.0,0.07,0.28,0.52,0.14,0.0,0.92,0.65,0.15
Xz6aqENKlT4FU-ZBvrf_ow,5.0,Orlando,1.0,0.94,0.94,0.86,0.8,0.0,0.04,0.04,0.11,0.11
Xz6aqENKlT4FU-ZBvrf_ow,5.0,Orlando,0.9,1.0,1.0,0.75,0.74,0.03,0.0,0.0,0.19,0.12
Xz6aqENKlT4FU-ZBvrf_ow,5.0,Orlando,1.0,1.0,1.0,1.0,0.87,0.0,0.0,0.0,0.0,0.06
Xz6aqENKlT4FU-ZBvrf_ow,5.0,Orlando,0.99,1.0,0.98,0.98,0.87,0.01,0.0,0.01,0.01,0.05
Xz6aqENKlT4FU-ZBvrf_ow,5.0,Orlando,1.0,0.99,0.99,0.99,0.94,0.0,0.0,0.0,0.01,0.01
Xz6aqENKlT4FU-ZBvrf_ow,5.0,Orlando,1.0,0.98,0.97,0.96,0.76,0.0,0.01,0.01,0.02,0.09
Xz6aqENKlT4FU-ZBvrf_ow,5.0,Orlando,1.0,0.98,1.0,0.98,0.8,0.0,0.01,0.0,0.01,0.08
Xz6aqENKlT4FU-ZBvrf_ow,4.0,Orlando,1.0,1.0,0.96,0.54,0.64,0.0,0.0,0.03,0.37,0.22
Xz6aqENKlT4FU-ZBvrf_ow,4.0,Orlando,0.98,0.99,0.97,0.96,0.92,0.01,0.01,0.02,0.03,0.05
